id,asins,brand,categories,colors,dateAdded,name,prices.amountMin,prices.currency
AVpe9MPg1cnluZ0-arqT,B002TUB706,NIXON,"Men,Wrist Watches,Watches,Clothing, Shoes & Jewelry","Black,White,GunmetalBlue,Navy,Matte BlackGold,All GunmetalBlack",2016-03-08T05:52:03Z,Nixon A276-033 Mens Stainless Steel Case and Bracelet Silver Dial Watch,105.00,USD
AVpfFoOqLJeJML432H2j,"B000RKB4K8,B0040JGAE2",Haggar,"clothing,Clothing, Shoes & Jewelry,Men,Shorts,Flat Front","Cadet Blue,Griffin,British Khaki,Iris,Sun,Navy,Black,Taupe,String,Chambray,White,Coronet,Tangerine,Dusk Blue",2014-09-05T10:56:32Z,Haggar Men's Cool 18 Gabardine Hidden Expandable-waist Plain-front Short,14.4,USD
AVpfWV4P1cnluZ0-jIyG,"B00H4YC0EE,B00H5H3AWG,B00H5H2LEO",Hi-Tec,"Men,Hiking Boots,Hiking Shoes,Shoes,Outdoor,Clothing, Shoes & Jewelry,Hiking & Trekking","Taupe  Gold,BoneBrownMustard,Brown",2015-12-02T00:22:13Z,Men's Bandera Low Wp Hiking Boot,35.51,USD
AVpfJjPf1cnluZ0-e9yv,B00TJFPYNU,Invicta,"Watches,Clothing, Shoes & Jewelry,Men,Wrist Watches,Jewelry & Watches,Wristwatches",Gold,2016-03-30T17:21:43Z,Invicta 17643 Men's Coalition Forces Steel Bracelet Chronograph Watch,194.99,USD
AVpe5SwkilAPnD_xQTDs,"B00KGS90IE,B00JBB374U",Wolfbike,"Outdoor Recreation,Sunglasses,Accessories,Men,Clothing, Shoes & Jewelry,Outdoor Clothing,Sports,Sunglasses & Eyewear Accessories,Sports & Outdoors","Black,BLACK-B,Green,Colors,Colorful,Polarised Sunglasses-BlackWhite,NEW red white,White,Blue,Red,Polarised Sunglasses-BlackYellow,Polarised Sunglasses-RedWhite,NEW black blue,NEW black red",2015-12-02T02:48:30Z,Wolfbike Super Anti-pollution Motorcycle Bicycle Cycling Racing Mask Carbon Cloth Bike Ski Half Face Mask Filter City Style,19.99,USD
AVpfG639LJeJML432jdk,B00MG49Z9A,Nike,"Athletic,Team Sports,Men,Soccer,Shoes,Clothing, Shoes & Jewelry",Laser OrangeTotal OrangeVoltViolet,2015-09-20T18:44:37Z,Nike Men's Tiempo Genio Leather Fg Soccer Cleat,59.99,USD
AVpfQGRJLJeJML435lma,B004ZL9B0A,Nike,"Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Team Sports,Basketball","White,Black",2015-11-14T20:00:27Z,Nike Lebron 8 P.s 441946-001 Men's Basketball Shoes,128.99,USD
AVpfAv7zLJeJML430bEv,"B00JLOU5QK,B00HAQXSD8",Apis Footwear,"Men,Sandals,Shoes,Clothing, Shoes & Jewelry",Black,2015-12-01T01:20:36Z,Apis Mt. Emey 9504 - Men's Therapeutic Extra Depth Sandals Leather Velcro,134.95,USD
AVpfLmZTilAPnD_xWrCM,"B00CBU6DMQ,B006AFMYWG",Korkers,"Men,Shoes,Clothing, Shoes & Jewelry,Boots","Gun Metal,Chocolate Chip",2016-01-20T05:19:50Z,Footwear Men's Storm Jack Snow Boot,33.80,USD
AVpfJvClilAPnD_xWDx9,B00LSZPK60,Pearl iZUMi,"Athletic,Men,Running,Shoes,Clothing, Shoes & Jewelry",GreyLimoges,2016-03-08T05:09:33Z,Em Trail N 2,82.35,USD
